1,"This movie is really genuine and random. It's really hard to find movies like it in bunches of movies now in Hollywood. I really enjoy watching this movie, i bought its DVD Tuesday this week and i've watched it for 4 times. I love the Spanglish accent of Paz, it s just really cute as she is. And her acting and Morgan's are so funny and natural.<br /><br />My movie taste might be really different from others but i have to say i really love this movie, the simple is the best!<br /><br />I've learned something more about life from this movie (well, or at least USA's life)... life is really random... Sometimes, u meet someone, they pass by your life and be your friends coincidently, and u don't spend so much time with them, maybe just a while but u enjoy that ''while'' with them, and then u and them will never meet each other again, but the time u are together is really unforgettable. Just keep those moments in your mind as grateful and nice memories...<br /><br />This movie might be cheap in the making price but its meanings are totally not cheap. I rarely can learn anything from movies, but this is an exception."
2,"This film tells the story of a romance between Albert Einstien niece and a gas station attendant. In order to get the two together, Einstien agrees to help Ed(Hudsucker Proxy's Tim Robbins) learn to act more intelligent. This impresses Catherine (Meg Ryan). Unfortunately Einstien goes too far and Ed is considered to be a genius. Hilarity ensues. Not to be missed. Filmed in Mercer county New Jersey at Princeton University, Lawrenceville Prep School (doubling for Princeton University) as well as a beautiful vintage gas station in Hopewell."
3,"Expecting to see another Nunsploitation movie with a mean Mother Superior abusing and torturing her charges, Flavia turned out to be MUCH more than I had anticipated.<br /><br />It actually has a feminist storyline, though I don't think such a term existed in the era in which the movie is set. It certainly wasn't practiced. Women (and the Jews and the poor) are very downtrodden and locked into menial spots in society. Throughout the story, Sister Flavia (Florinda Bolkan) witnesses the tyranny of her time until she just can't sit there any longer and actually does something about it, albeit with disastrous results.<br /><br />The pre-credit sequence has Flavia as a young adolescent near a battlefield. She sees an injured ""evil"" Muslim soldier (one of the few still alive) and tries to assist him. Before she can, her hate-filled father beheads the soldier and waves his head in her face (great family dynamics, huh?). After this, her father forces her to join a convent where she witnesses even more injustice. Though scenes do involve violence, rape and nuns, I would consider this more of a historical drama than Nunsploitation. <br /><br />Indeed, many of the ingredients for a trashy exploitation piece are there, but the acting, camera-work, storyline and music are too good to keep it down in that level. Most ""nun"" films I've seen usually have the basic premise of: A good girl somehow winds up in a convent, where the Mother Superior is a supreme bitch that likes to whip people and/or make their lives a living hell.<br /><br />Flavia spends much of the first part of he movie passively questioning all of the atrocities happening around her. Much of her passivity is forgotten when she becomes acquainted with the strong-spirited (but slightly loony- she likes to pee outside like me, but it's a lot easier for guys) Sister Agatha. When a group of Muslims attack their abbey, Flavia and Agatha do not cower in fear like the other nuns. Their attackers actually function as their liberators (of the cruelty and near-slavery of the abbey). In fact, it is a Christian, not a Muslim invader, that impales dear Sister Agatha. <br /><br />It is Agatha's death that sends Flavia on her violent crusade against those who have oppressed her... Her father treats her like dirt. Her Muslim lover deserts her at a very inopportune time. I don't want to give out too much of the rest of the story, but be prepared to be shocked, devastated and saddened at the conclusion. This is a great film, so don't be put off by its (undeserved) reputation as a trash epic. Plus, how on Earth could a movie featuring Florinda Bolkan and Claudio Cassinelli go wrong? I am not familiar with María Casares' other works, but Sister Agatha is a hell of a character.<br /><br />I have read many great reviews of the Synapse (US) release, but I love my German X-Rated Kult DVD copy. It isn't anamorphic/16:9, but actually has a little more picture information on all of the edges than Synapse's release.<br /><br />And there are also many great, wise or funny lines of dialogue (many from Sister Agatha)<br /><br />""Why is God male? The Father, the Son, and the Holy Spirit<U+0085> They're all male!"" -Flavia<br /><br />""These men are afraid- look at them, Sister- Afraid their power will be taken away from them!"" -Sr. Agatha (regarding Christians fleeing after the Muslims arrive)<br /><br />""Woman, where are you going? The Moslems can do nothing to you that the Christians haven't done! Ha Ha Ha!"" -Sr. Agatha (to a group of fleeing Christian women)<br /><br />""Lord bless these Moslems- For putting fear into these pompous Christians."" -Flavia<br /><br />""Does it take the mere sight of a Moslem to make you $h!t your underclothing?"" -Sr. Agatha<br /><br />Closing message: ""Flavia Gaetani, not yet a Muslim - no longer a Christian - was punished as a runaway nun. The idea for the film came from events which occurred during the Musalman invasions of Italy culminating in what even today is remembered as THE MARTYRDOM OF THE 800 AT OTRANTO"""
4,"Looking backwards to that year 2002 when ""Furia"" was made, one can easily recognize the heralding sings of today's New Generation in Romania.<br /><br />The main qualities of ""Furia"" stand in a very solid script, with a substantial dramatic core and a really professional developing, plus a cast of excellent actors. All four leading roles are admirably performed, both with depth and casualness: Dragos Bucur and Andy Vasluianu confirmed, since then, being two of our best performers today, Dorina Chiriac follows them closely, and Adrian Tuli, a non-professional (in real life, a graveyard manager!) cast as Gabonu, was a genuine revelation! <br /><br />Further, Radu Muntean's directing is skilled and expressive, creating in a very compelling style that feeling of ""a fateful night"" and inescapable destiny. One can easily pass over the few awkward and even failed moments, since time proved them to be only the uncertainties inherent to a debut, never repeated in his subsequent movies: ""Hârtia va fi albasträ"" and ""Boogie""."
5,"Before I watched this film I read a review here stating that this film could possibly be one of the best films ever!? ha ha Scene by scene the tension grows alright... from the annoying characters in this movie. From the little girl talking gibberish and trying to drown the little boy, to the killer just running about without any notice (and who was the guy at the beach talking to the little boy!?)..things just seem to happen and then go unanswered in this film. As I watched it seemed like the film was going in one direction, then just doesn't go anywhere, but into a new direction...and on and on...<br /><br />The acting is great, but the writing is horrible. Each character, in each scene, says or does something so unbelievable, unrealistic and the reactions of the fellow cast/extras are simply strange. There are no resolutions to the problems developed throughout the film, making it confusing and ultimately a big waste of time."
6,"One of the many vigilante epics that flooded the market by the mid-80s. The routine plot has echoes of ""The Magnificent Seven"" (believe it or not), the action scenes are lamely handled and the special effects are non-existent. You COULD do worse....but the film is still just a waste of time. (*1/2)"
7,"This is a failure so complete as to make me angry.<br /><br />All of the subtlety and structure of Reggio's early films is gone, leaving nothing but a hash of digitally smeared images whose sole purpose seems to be Whining About Bad Things Humans Do. Just how do Star Trek-like wormhole graphics, slo-mo colorized seascapes, mutiplicities of obviously fake computer icons, and shots of athletic competition that, incidentally, show that no one has ever been able to top (or even match) Leni Riefenstahl for filming bodies in motion, edited together with an overlay of video colorization that a 1980s ""Dr. Who"" producer would have rejected as ""too cheesy,"" add up to a polemic against ""civilized violence""? There is no intellectual, emotional, or visceral connection between these images as assembled and mutated by Reggio and way too many digital effects artistes, and the cautionary tale I assume he wanted to produce. With all of the ""dramaturgical consultants"" involved, no one seems to have pulled his head out the his own feeling of Saying Something Important and considered that they might all be failing to say something new.<br /><br />Only people who watch too much television could make such a film and believe that it's meaningful; this is kindergarten Stan Brakhage, and ultimately gutless in its relentless obviousness. The only irony and tension evident here (unlike in ""Koyaanisqatsi"" where the relentless beauty and strangeness of time-altered ordinary images forced you to consider their meaning) was when the DVD I was watching jammed and skipped. This is MTV for the Noam Chomsky crowd, based on reflex rather than reflection and signifying nothing. Two stars for the music, which is in Glass's best pomo-Cesar Franck style and features some passionate cello from Yo-Yo Ma. (I hope for his sake that he didn't have to record his parts to a playback of the film; there are some things you shouldn't have to do even for a paycheck.)"
8,"I watched this series out of curiosity,wanting to see if they could possibly and with ALL this modern technology,out do Cecil B. DeMille's classic epic of 1956, starring Charleton Heston,Yul Brenner and Sir Cedric Hardwicke. Of course, I was let down. Yes, they had all the Biblical characters correct, but they didn't give us any of the spectacular theatrical scenes, that held your interest throughout the first movie. If you going to have a mini-series, you have to have some ""rivoting"" scenes, the ""Burning bush"", Parting the ""RED Sea"",drowning ""Pharohs Armies"", ""building Sethi's Pyramids"", could have been done with todays' technology on the scale of blockbuster movies such as ""Lord of the Rings"" or the Matrix. Obviously, they didn't want to leave a LASTING impression of ""faith and sacrifice"", which is much needed in these trouble times."
9,"Veber is not renown for his outstanding directorial skills. In fact nobody cares as long as they got the laughs, quite a few here to be honest, scattered in the whole process, thanks to Depardieu's half-wit characterization and the dialogue Veber puts in his mouth.<br /><br />But this is not enough to make a great comedy since there's no movie outside of the usual Veber premise: a tough guy is doomed to team up with a very naive character. In L'Emmerdeur, La Chèvre or Les Compères there was a real story going on over the fire vs. water proceedings. Le Diner de cons, although it was a play, managed to create a real suspense about the next catastrophe Pinon would cause. In Tais-toi the backstory about the vengeance is both redundant and too weak to arouse our interest. Plus the heavies are lame both on screen and in the script.<br /><br />Now what's wrong? Veber wraps this up creating no action, no rhythm. Instead he uses systematically and overuses ellipses (maybe he met William Goldman in Hollywood) and the 'music' really stresses that lack of nerve and a backbone in the story.<br /><br />So you'll have to be content with Depardieu's performance."
10,"Well, I've read the book first and thought: wow would this be cool to see in a movie, than I started searching and found there was already a movie made of it... I bought the movie a week ago on DVD and watched it.. they did it awfully wrong! at first this kid Hapi,who isn't any character in the book, then the mix between the two books ('the river god' and 'the seventh scroll') than Nicolas needing funds while in the book he himself is actually the funder, the whole thing about the Hyksos is wrong also.. Taila is supposed to have invented the lightweight-chariot.. the whole thing about the tomb is also very wrong.. there is supposed to be a channel that has some kind of vacuum-suction around it.. the tomb itself was made in a maze with only a possibility to pass if one knows the rules of the ancient boa-game. There was nothing in the movie about Nicolas being English and Royan was a Coptic-Christian in the book, not a Muslim..This list is endless.. There were only a few things good about the movie, the actors which played Royan, Nahood, Taita, Boris, Mick and Tessay were well-chosen, the rest were just parodies of the characters in the book, Rasfer was the worst, it didn't get even close to the character that was in my head while I wrote the book.. It is such a shame that such a great book is mutilated in such a bad reproduction... I wonder why Wilbur Smith ever gave his permission for this.."
